time_s,manifest_id,pV_nom_DG1,pV_nom_DG2,pV_nom_DG3,pV_alt_DG1,pV_alt_DG2,pV_alt_DG3,pomega_nom_DG1,pomega_nom_DG2,pomega_nom_DG3,pomega_alt_DG1,pomega_alt_DG2,pomega_alt_DG3,max_abs_public_difference
0,9e81ce3e9621f78a,0.222987539963193,-0.200183016603274,0.125393843279728,0.222987539963193,-0.200183016603274,0.125393843279728,0.0157345264465782,-0.0117109663425478,0.00987392303412422,0.0157345264465782,-0.0117109663425478,0.00987392303412422,0
0.005,9e81ce3e9621f78a,0.222395281409431,-0.19968936104318,0.124997977958869,0.222395281409431,-0.19968936104318,0.124997977958869,0.0153384177124918,-0.0114135237939128,0.00967582053813254,0.0153384177124918,-0.0114135237939128,0.00967582053813254,0
0.01,9e81ce3e9621f78a,0.221814216669123,-0.19920491939251,0.124608340386588,0.221814216669123,-0.19920491939251,0.124608340386588,0.0149499853054915,-0.0111211328754482,0.00948146229770391,0.0149499853054915,-0.0111211328754482,0.00948146229770391,0
0.015,9e81ce3e9621f78a,0.221238094641216,-0.198724624894969,0.124221958793937,0.221238094641216,-0.198724624894969,0.124221958793937,0.014569072615706,-0.0108337000568912,0.009290773338274,0.014569072615706,-0.0108337000568912,0.009290773338274,0
0.02,9e81ce3e9621f78a,0.220660921638526,-0.198243613441884,0.123835982401559,0.220660921638526,-0.198243613441884,0.123835982401559,0.0141955265456654,-0.0105511336132627,0.00910368019872063,0.0141955265456654,-0.0105511336132627,0.00910368019872063,0
0.025,9e81ce3e9621f78a,0.220076976535404,-0.197757232584514,0.123447681338828,0.220076976535404,-0.197757232584514,0.123447681338828,0.0138291974092209,-0.0102733435849018,0.00892011090026236,0.0138291974092209,-0.0102733435849018,0.00892011090026236,0
0.03,9e81ce3e9621f78a,0.219480822874807,-0.197261048668388,0.123054446258291,0.219480822874807,-0.197261048668388,0.123054446258291,0.0134699388349278,-0.0100002417387876,0.00873999491616139,0.0134699388349278,-0.0100002417387876,0.00873999491616139,0
0.035,9e81ce3e9621f78a,0.218867317829612,-0.196750851985695,0.122653787624109,0.218867317829612,-0.196750851985695,0.122653787624109,0.0131176076736012,-0.00973174153108293,0.00856326314218654,0.0131176076736012,-0.00973174153108293,0.00856326314218654,0
0.04,9e81ce3e9621f78a,0.218231618016493,-0.196222659913521,0.122243334665081,0.218231618016493,-0.196222659913521,0.122243334665081,0.0127720639097848,-0.00946775807084245,0.00838984786780109,0.0127720639097848,-0.00946775807084245,0.00838984786780109,0
0.045,9e81ce3e9621f78a,0.217569182244266,-0.195672718064115,0.121820833992248,0.217569182244266,-0.195672718064115,0.121820833992248,0.0124331705768903,-0.00920820808482895,0.00821968274804257,0.0124331705768903,-0.00920820808482895,0.00821968274804257,0
0.05,9e81ce3e9621f78a,0.216875771345687,-0.19509749952074,0.121384147888783,0.216875771345687,-0.19509749952074,0.121384147888783,0.0121007936757868,-0.00895300988338668,0.0080527027760646,0.0121007936757868,-0.00895300988338668,0.0080527027760646,0
0.055,9e81ce3e9621f78a,0.21614744529309,-0.194493702269704,0.120931252286252,0.21614744529309,-0.194493702269704,0.120931252286252,0.0117748020966298,-0.00870208332732181,0.0078888442563124,0.0117748020966298,-0.00870208332732181,0.0078888442563124,0
0.06,9e81ce3e9621f78a,0.215380557835174,-0.1938582449668,0.120460234446356,0.215380557835174,-0.1938582449668,0.120460234446356,0.0114550675437396,-0.00845534979574314,0.00772804477830613,0.0114550675437396,-0.00845534979574314,0.00772804477830613,0
0.065,9e81ce3e9621f78a,0.21457174891617,-0.193188261195517,0.119969290371165,0.21457174891617,-0.193188261195517,0.119969290371165,0.0111414644633502,-0.0082127321548188,0.00757024319100783,0.0111414644633502,-0.0082127321548188,0.00757024319100783,0
0.07,9e81ce3e9621f78a,0.213717935151255,-0.192481092386166,0.119456721967737,0.213717935151255,-0.192481092386166,0.119456721967737,0.0108338699740624,-0.00797415472740683,0.00741537957774953,0.0108338699740624,-0.00797415472740683,0.00741537957774953,0
0.075,9e81ce3e9621f78a,0.212816298635097,-0.191734279570515,0.118920933994942,0.212816298635097,-0.191734279570515,0.118920933994942,0.0105321637998478,-0.00773954326352004,0.00726339523170163,0.0105321637998478,-0.00773954326352004,0.00726339523170163,0
0.08,9e81ce3e9621f78a,0.211864274355596,-0.190945554146761,0.118360430821568,0.211864274355596,-0.190945554146761,0.118360430821568,0.0102362282054604,-0.00750882491158757,0.00711423263186229,0.0102362282054604,-0.00750882491158757,0.00711423263186229,0
0.085,9e81ce3e9621f78a,0.21085953647395,-0.190112827825703,0.117773813025269,0.21085953647395,-0.190112827825703,0.117773813025269,0.00994594793412274,-0.00728192819047778,0.00696783541954971,0.00994594793412274,-0.00728192819047778,0.00696783541954971,0
0.09,9e81ce3e9621f78a,0.20979998371651,-0.189234181921757,0.117159773861922,0.20979998371651,-0.189234181921757,0.117159773861922,0.00966121014736311,-0.00705878296224905,0.00682414837538045,0.00966121014736311,-0.00705878296224905,0.00682414837538045,0
0.095,9e81ce3e9621f78a,0.208683724105129,-0.188307856142885,0.116517095634467,0.208683724105129,-0.188307856142885,0.116517095634467,0.00938190436688834,-0.00683932040559702,0.00668311739671841,0.00938190436688834,-0.00683932040559702,0.00668311739671841,0
0.1,9e81ce3e9621f78a,0.207509059231811,-0.187332237022272,0.11584464598947,0.207509059231811,-0.187332237022272,0.11584464598947,0.00910792241838555,-0.00662347298996852,0.00654468947557954,0.00910792241838555,-0.00662347298996852,0.00654468947557954,0
0.105,9e81ce3e9621f78a,0.20627446826168,-0.186305846122425,0.115141374168487,0.20627446826168,-0.186305846122425,0.115141374168487,0.00883915837715264,-0.00641117445031426,0.00640881267697894,0.00883915837715264,-0.00641117445031426,0.00640881267697894,0
0.11,9e81ce3e9621f78a,0.204978591826326,-0.185227328129763,0.114406307239978,0.204978591826326,-0.185227328129763,0.114406307239978,0.0085755085154648,-0.0062023597624539,0.00627543611770753,0.0085755085154648,-0.0062023597624539,0.00627543611770753,0
0.115,9e81ce3e9621f78a,0.203620215948161,-0.184095438945237,0.113638546335991,0.203620215948161,-0.184095438945237,0.113638546335991,0.00831687125159042,-0.00599696511902885,0.00614450994552636,0.00831687125159042,-0.00599696511902885,0.00614450994552636,0
0.12,9e81ce3e9621f78a,0.202198256116037,-0.182909033864301,0.112837262916217,0.202198256116037,-0.182909033864301,0.112837262916217,0.00806314710037537,-0.00579492790601923,0.00601598531876742,0.00806314710037537,-0.00579492790601923,0.00601598531876742,0
0.125,9e81ce3e9621f78a,0.20071174161348,-0.181667055928083,0.112001695080371,0.20071174161348,-0.181667055928083,0.112001695080371,0.00781423862532051,-0.00559618667980334,0.00588981438633056,0.00781423862532051,-0.00559618667980334,0.00588981438633056,0
0.13,9e81ce3e9621f78a,0.199159800183559,-0.180368524516915,0.111131143948123,0.199159800183559,-0.180368524516915,0.111131143948123,0.00757005039208186,-0.00540068114473872,0.00576595026806659,0.00757005039208186,-0.00540068114473872,0.00576595026806659,0
0.135,9e81ce3e9621f78a,0.197541643099012,-0.179012524247709,0.11022497012418,0.197541643099012,-0.179012524247709,0.11022497012418,0.00733048892332766,-0.00520835213124564,0.00564434703553736,0.00733048892332766,-0.00520835213124564,0.00564434703553736,0
0.14,9e81ce3e9621f78a,0.195856550692671,-0.17759819422805,0.109282590264429,0.195856550692671,-0.17759819422805,0.109282590264429,0.00709546265489097,-0.00501914157437455,0.00552495969314406,0.00709546265489097,-0.00501914157437455,0.00552495969314406,0
0.145,9e81ce3e9621f78a,0.194103858391566,-0.176124717712358,0.108303473757526,0.194103858391566,-0.176124717712358,0.108303473757526,0.00686488189316015,-0.00483299249284046,0.00540774415961556,0.00686488189316015,-0.00483299249284046,0.00540774415961556,0
0.15,9e81ce3e9621f78a,0.192282943288271,-0.174591312199067,0.107287139534764,0.192282943288271,-0.174591312199067,0.107287139534764,0.00663865877365344,-0.00464984896850801,0.00529265724984887,0.00663865877365344,-0.00464984896850801,0.00529265724984887,0
0.155,9e81ce3e9621f78a,0.190393211275031,-0.172997220002439,0.106233153019673,0.190393211275031,-0.172997220002439,0.106233153019673,0.00641670722072724,-0.00446965612631201,0.00517965665709449,0.00641670722072724,-0.00446965612631201,0.00517965665709449,0
0.16,9e81ce3e9621f78a,0.188434084759824,-0.171341699328339,0.105141123227445,0.188434084759824,-0.171341699328339,0.105141123227445,0.00619894290837073,-0.00429236011459912,0.00506870093547937,0.00619894290837073,-0.00429236011459912,0.00506870093547937,0
0.165,9e81ce3e9621f78a,0.186404990978701,-0.16962401588,0.104010700023066,0.186404990978701,-0.16962401588,0.104010700023066,0.00598528322204259,-0.00411790808587724,0.00495974948286109,0.00598528322204259,-0.00411790808587724,0.00495974948286109,0
0.17,9e81ce3e9621f78a,0.184305350915416,-0.16784343501743,0.102841571545871,0.184305350915416,-0.16784343501743,0.102841571545871,0.00577564722150794,-0.00394624817795963,0.00485276252400649,0.00577564722150794,-0.00394624817795963,0.00485276252400649,0
0.175,9e81ce3e9621f78a,0.182134568837259,-0.165999214492598,0.101633461807215,0.182134568837259,-0.165999214492598,0.101633461807215,0.00556995560463659,-0.00377732949549202,0.00474770109408901,0.00556995560463659,-0.00377732949549202,0.00474770109408901,0
