time_s,manifest_id,voltage_pu_DG1,voltage_pu_DG2,voltage_pu_DG3,frequency_deviation_pu_DG1,frequency_deviation_pu_DG2,frequency_deviation_pu_DG3,voltage_tracking_error_pu_DG1,voltage_tracking_error_pu_DG2,voltage_tracking_error_pu_DG3,frequency_tracking_error_pu_DG1,frequency_tracking_error_pu_DG2,frequency_tracking_error_pu_DG3
0,9e81ce3e9621f78a,1.02,0.985,1.01,0.01,-0.006,0.004,0.02,-0.015,0.01,0.01,-0.006,0.004
0.005,9e81ce3e9621f78a,1.01996374286776,0.985033835691752,1.00998053041271,0.00974414344710061,-0.00578084223209687,0.00386503152052201,0.0199637428677595,-0.0149661643082484,0.00998053041270786,0.00974414344710061,-0.00578084223209687,0.00386503152052201
0.01,9e81ce3e9621f78a,1.01985673345938,0.985133664251009,1.00992306081298,0.00949430039814516,-0.00556616661227628,0.00373360671785641,0.019856733459378,-0.0148663357489908,0.00992306081297811,0.00949430039814516,-0.00556616661227628,0.00373360671785641
0.015,9e81ce3e9621f78a,1.01968156790598,0.98529700910609,1.00982897572157,0.0092503359546255,-0.00535590490957208,0.00360563798756976,0.019681567905981,-0.0147029908939101,0.00982897572156549,0.0092503359546255,-0.00535590490957208,0.00360563798756976
0.02,9e81ce3e9621f78a,1.01944078227536,0.985521446821766,1.00969962849855,0.00901211837673469,-0.00514998961819228,0.00348103995024776,0.0194407822753557,-0.0144785531782335,0.00969962849854666,0.00901211837673469,-0.00514998961819228,0.00348103995024776
0.025,9e81ce3e9621f78a,1.01913685544558,0.985804604939319,1.00953634270337,0.00877951900208119,-0.00494835396301918,0.00335972939490149,0.0191368554455842,-0.0141953950606815,0.00953634270336612,0.00877951900208119,-0.00494835396301918,0.00335972939490149
0.03,9e81ce3e9621f78a,1.01877221181024,0.986144159932073,1.00934041338057,0.00855241216690315,-0.00475093190420641,0.00324162522377311,0.0187722118102422,-0.0138558400679268,0.00934041338057368,0.00855241216690315,-0.00475093190420641,0.00324162522377311
0.035,9e81ce3e9621f78a,1.01834922381707,0.986537835275968,1.00911310827385,0.00833067512965555,-0.00455765814091713,0.00312664839849316,0.0183492238170702,-0.0134621647240318,0.00911310827385048,0.00833067512965555,-0.00455765814091713,0.00312664839849316
0.04,9e81ce3e9621f78a,1.01787021434238,0.986983399634392,1.00885566897066,0.00811418799686352,-0.00436846811424524,0.00301472188755477,0.0178702143423815,-0.0130166003656081,0.00885566897065915,0.00811418799686352,-0.00436846811424524,0.00301472188755477
0.045,9e81ce3e9621f78a,1.01733745890447,0.987478665155796,1.0085693119799,0.00790283365114271,-0.00418329800936036,0.00290577061507167,0.0173374589044661,-0.0125213348442043,0.00856931197990152,0.00790283365114271,-0.00418329800936036,0.00290577061507167
0.05,9e81ce3e9621f78a,1.01675318772018,0.988021485881871,1.00825522974502,0.00769649768129453,-0.00400208475691641,0.00279972141078783,0.0167531877201788,-0.0119785141181291,0.00825522974501669,0.00769649768129453,-0.00400208475691641,0.00279972141078783
0.055,9e81ce3e9621f78a,1.01611958760976,0.988609756263412,1.00791459159499,0.00749506831439059,-0.00382476603376248,0.00269650296130779,0.0161195876097555,-0.0113902437365878,0.00791459159498786,0.00749506831439059,-0.00382476603376248,0.00269650296130779
0.06,9e81ce3e9621f78a,1.01543880375565,0.989241409780406,1.00754854463578,0.0072984363497663,-0.00365128026299371,0.00259604576251773,0.0154388037556503,-0.010758590219594,0.00754854463577592,0.0072984363497663,-0.00365128026299371,0.00259604576251773
0.065,9e81ce3e9621f78a,1.01471294132183,0.989914417662352,1.00715821458471,0.00710649509484921,-0.00348156661337872,0.00249828207316828,0.014712941321833,-0.0100855823376483,0.00715821458470955,0.00710649509484921,-0.00348156661337872,0.00249828207316828
