time_s,manifest_id,pV_nom_DG1,pV_nom_DG2,pV_nom_DG3,pV_alt_DG1,pV_alt_DG2,pV_alt_DG3,pW_nom_DG1,pW_nom_DG2,pW_nom_DG3,pW_alt_DG1,pW_alt_DG2,pW_alt_DG3
0.0,9e81ce3e9621f78a,0.22298753996319276,-0.2001830166032744,0.12539384327972847,0.22298753996319276,-0.2001830166032744,0.12539384327972847,0.01573452644657818,-0.011710966342547802,0.009873923034124215,0.01573452644657818,-0.011710966342547802,0.009873923034124215
0.005,9e81ce3e9621f78a,0.2223952814094311,-0.19968936104317964,0.124997977958869,0.2223952814094311,-0.19968936104317964,0.124997977958869,0.015338417712491824,-0.011413523793912753,0.009675820538132537,0.015338417712491824,-0.011413523793912753,0.009675820538132537
0.01,9e81ce3e9621f78a,0.22181421666912315,-0.19920491939251017,0.1246083403865883,0.22181421666912315,-0.19920491939251017,0.1246083403865883,0.01494998530549154,-0.011121132875448183,0.009481462297703915,0.01494998530549154,-0.011121132875448183,0.009481462297703915
0.015,9e81ce3e9621f78a,0.22123809464121622,-0.19872462489496884,0.1242219587939373,0.22123809464121622,-0.19872462489496884,0.1242219587939373,0.014569072615706044,-0.010833700056891172,0.009290773338273998,0.014569072615706044,-0.010833700056891172,0.009290773338273998
0.02,9e81ce3e9621f78a,0.22066092163852566,-0.19824361344188446,0.12383598240155941,0.22066092163852566,-0.19824361344188446,0.12383598240155941,0.014195526545665409,-0.010551133613262724,0.009103680198720635,0.014195526545665409,-0.010551133613262724,0.009103680198720635
0.025,9e81ce3e9621f78a,0.22007697653540392,-0.19775723258451433,0.12344768133882757,0.22007697653540392,-0.19775723258451433,0.12344768133882757,0.013829197409220872,-0.010273343584901845,0.008920110900262365,0.013829197409220872,-0.010273343584901845,0.008920110900262365
0.03,9e81ce3e9621f78a,0.21948082287480686,-0.19726104866838817,0.12305444625829143,0.21948082287480686,-0.19726104866838817,0.12305444625829143,0.013469938834927758,-0.010000241738787592,0.008739994916161386,0.013469938834927758,-0.010000241738787592,0.008739994916161386
0.035,9e81ce3e9621f78a,0.21886731782961164,-0.19675085198569517,0.12265378762410903,0.21886731782961164,-0.19675085198569517,0.12265378762410903,0.01311760767360123,-0.00973174153108293,0.008563263142186544,0.01311760767360123,-0.00973174153108293,0.008563263142186544
0.04,9e81ce3e9621f78a,0.21823161801649288,-0.1962226599135208,0.12224333466508086,0.21823161801649288,-0.1962226599135208,0.12224333466508086,0.012772063909784753,-0.00946775807084245,0.008389847867801089,0.012772063909784753,-0.00946775807084245,0.008389847867801089
0.045,9e81ce3e9621f78a,0.21756918224426608,-0.19567271806411493,0.12182083399224759,0.21756918224426608,-0.19567271806411493,0.12182083399224759,0.012433170576890295,-0.009208208084828948,0.008219682748042573,0.012433170576890295,-0.009208208084828948,0.008219682748042573
0.05,9e81ce3e9621f78a,0.21687577134568692,-0.19509749952073985,0.12138414788878295,0.21687577134568692,-0.19509749952073985,0.12138414788878295,0.012100793675786804,-0.008953009883386683,0.008052702776064602,0.012100793675786804,-0.008953009883386683,0.008052702776064602
0.055,9e81ce3e9621f78a,0.21614744529309018,-0.19449370226970425,0.12093125228625223,0.21614744529309018,-0.19449370226970425,0.12093125228625223,0.011774802096629778,-0.008702083327321811,0.0078888442563124,0.011774802096629778,-0.008702083327321811,0.0078888442563124
0.06,9e81ce3e9621f78a,0.21538055783517385,-0.19385824496680032,0.12046023444635556,0.21538055783517385,-0.19385824496680032,0.12046023444635556,0.011455067543739598,-0.008455349795743142,0.007728044778306127,0.011455067543739598,-0.008455349795743142,0.007728044778306127
0.065,9e81ce3e9621f78a,0.21457174891616962,-0.19318826119551696,0.11996929037116548,0.21457174891616962,-0.19318826119551696,0.11996929037116548,0.011141464463350207,-0.008212732154818799,0.00757024319100783,0.011141464463350207,-0.008212732154818799,0.00757024319100783
0.07,9e81ce3e9621f78a,0.21371793515125542,-0.19248109238616556,0.11945672196773732,0.21371793515125542,-0.19248109238616556,0.11945672196773732,0.010833869974062405,-0.00797415472740683,0.007415379577749526,0.010833869974062405,-0.00797415472740683,0.007415379577749526
0.075,9e81ce3e9621f78a,0.21281629863509682,-0.19173427957051453,0.11892093399494222,0.21281629863509682,-0.19173427957051453,0.11892093399494222,0.010532163799847801,-0.007739543263520042,0.007263395231701626,0.010532163799847801,-0.007739543263520042,0.007263395231701626
0.08,9e81ce3e9621f78a,0.2118642743555963,-0.19094555414676123,0.11836043082156811,0.2118642743555963,-0.19094555414676123,0.11836043082156811,0.01023622820546039,-0.007508824911587571,0.007114232631862293,0.01023622820546039,-0.007508824911587571,0.007114232631862293
0.085,9e81ce3e9621f78a,0.2108595364739497,-0.19011282782570302,0.11777381302526913,0.2108595364739497,-0.19011282782570302,0.11777381302526913,0.009945947934122743,-0.007281928190477776,0.006967835419549706,0.009945947934122743,-0.007281928190477776,0.006967835419549706
0.09,9e81ce3e9621f78a,0.20979998371651004,-0.18923418192175673,0.11715977386192182,0.20979998371651004,-0.18923418192175673,0.11715977386192182,0.009661210147363106,-0.0070587829622490465,0.006824148375380453,0.009661210147363106,-0.0070587829622490465,0.006824148375380453
0.095,9e81ce3e9621f78a,0.20868372410512948,-0.1883078561428848,0.11651709563446733,0.20868372410512948,-0.1883078561428848,0.11651709563446733,0.009381904366888343,-0.006839320405597021,0.00668311739671841,0.009381904366888343,-0.006839320405597021,0.00668311739671841
