time_s,manifest_id,V_cl,comparison_envelope
0,9e81ce3e9621f78a,0.0764701524000805,0.0764701524000805
0.005,9e81ce3e9621f78a,0.0728558430230953,0.101425677922592
0.01,9e81ce3e9621f78a,0.0695322077518119,0.126368728801264
0.015,9e81ce3e9621f78a,0.0664807306897106,0.151299311271859
0.02,9e81ce3e9621f78a,0.0636890420305371,0.176217431567022
0.025,9e81ce3e9621f78a,0.0611501418425142,0.201123095916286
0.03,9e81ce3e9621f78a,0.0588616443285117,0.226016310546058
0.035,9e81ce3e9621f78a,0.0568250520656206,0.250897081679655
0.04,9e81ce3e9621f78a,0.0550450687329134,0.275765415537259
0.045,9e81ce3e9621f78a,0.0535289574692405,0.30062131833596
0.05,9e81ce3e9621f78a,0.0522859504191203,0.32546479628973
0.055,9e81ce3e9621f78a,0.0513267133591014,0.35029585560944
0.06,9e81ce3e9621f78a,0.0506628676591362,0.375114502502858
0.065,9e81ce3e9621f78a,0.0503065703070617,0.399920743174643
0.07,9e81ce3e9621f78a,0.0502701513675846,0.424714583826354
0.075,9e81ce3e9621f78a,0.0505658070956968,0.449496030656454
0.08,9e81ce3e9621f78a,0.0512053459941532,0.474265089860301
0.085,9e81ce3e9621f78a,0.0521999843957564,0.499021767630165
0.09,9e81ce3e9621f78a,0.0535601876519578,0.523766070155214
0.095,9e81ce3e9621f78a,0.0552955526997465,0.548498003621521
0.1,9e81ce3e9621f78a,0.0574147276339408,0.573217574212068
0.105,9e81ce3e9621f78a,0.0599253639044321,0.597924788106755
0.11,9e81ce3e9621f78a,0.0628340968600491,0.622619651482382
0.115,9e81ce3e9621f78a,0.0661465505461973,0.647302170512665
0.12,9e81ce3e9621f78a,0.069867362908316,0.671972351368235
0.125,9e81ce3e9621f78a,0.0740002278364924,0.696630200216631
0.13,9e81ce3e9621f78a,0.0785479507905091,0.721275723222324
0.135,9e81ce3e9621f78a,0.0835125150546557,0.745908926546689
0.14,9e81ce3e9621f78a,0.0888951559763282,0.770529816348032
0.145,9e81ce3e9621f78a,0.0946964408330793,0.79513839878157
0.15,9e81ce3e9621f78a,0.100916352243057,0.819734679999453
0.155,9e81ce3e9621f78a,0.107554373279363,0.844318666150751
0.16,9e81ce3e9621f78a,0.114609572667168,0.868890363381454
0.165,9e81ce3e9621f78a,0.122080688631968,0.893449777834498
0.17,9e81ce3e9621f78a,0.129966210127828,0.917996915649726
0.175,9e81ce3e9621f78a,0.138264454306065,0.942531782963928
0.18,9e81ce3e9621f78a,0.14697363918827,0.967054385910821
0.185,9e81ce3e9621f78a,0.156091950584039,0.99156473062106
0.19,9e81ce3e9621f78a,0.165617602344307,1.01606282322222
0.195,9e81ce3e9621f78a,0.175548889067206,1.04054866983883
0.2,9e81ce3e9621f78a,0.185884230376088,1.06502227659236
0.205,9e81ce3e9621f78a,0.196622205870162,1.0894836496012
0.21,9e81ce3e9621f78a,0.207761579808273,1.1139327949807
0.215,9e81ce3e9621f78a,0.219301314527305,1.13836971884314
0.22,9e81ce3e9621f78a,0.231240571519762,1.16279442729775
0.225,9e81ce3e9621f78a,0.243578699002173,1.18720692645072
0.23,9e81ce3e9621f78a,0.256315204699031,1.21160722240517
0.235,9e81ce3e9621f78a,0.269449712448716,1.23599532126117
0.24,9e81ce3e9621f78a,0.282981901111273,1.26037122911574
0.245,9e81ce3e9621f78a,0.296911424127521,1.28473495206287
0.25,9e81ce3e9621f78a,0.311237807949649,1.30908649619348
0.255,9e81ce3e9621f78a,0.325960327442405,1.33342586759546
0.26,9e81ce3e9621f78a,0.341077856249197,1.35775307235366
0.265,9e81ce3e9621f78a,0.356588690039868,1.38206811654987
0.27,9e81ce3e9621f78a,0.37249034051909,1.40637100626286
0.275,9e81ce3e9621f78a,0.388779298092204,1.43066174756834
0.28,9e81ce3e9621f78a,0.40545076117726,1.45494034653901
0.285,9e81ce3e9621f78a,0.422498330339879,1.47920680924451
0.29,9e81ce3e9621f78a,0.439913665736358,1.50346114175147
0.295,9e81ce3e9621f78a,0.45768610680846,1.52770335012345
0.3,9e81ce3e9621f78a,0.475802253811379,1.55193344042102
0.305,9e81ce3e9621f78a,0.494245511607633,1.5761514187017
0.31,9e81ce3e9621f78a,0.512995597257758,1.60035729101998
0.315,9e81ce3e9621f78a,0.532028014316704,1.62455106342733
0.32,9e81ce3e9621f78a,0.551313498431825,1.6487327419722
0.325,9e81ce3e9621f78a,0.570817440857215,1.6729023327
