time_s,manifest_id,sigma_V_DG1,sigma_V_DG2,sigma_V_DG3,sigma_omega_DG1,sigma_omega_DG2,sigma_omega_DG3,zeta_V_DG1,zeta_V_DG2,zeta_V_DG3,zeta_omega_DG1,zeta_omega_DG2,zeta_omega_DG3,boundary_margin,local_comparison,comparison_envelope
0,9e81ce3e9621f78a,0.2,-0.15,0.1,0.2,-0.12,0.08,0.202732554054082,-0.151140435936467,0.100335347731076,0.202732554054082,-0.120581028408444,0.0801713250375897,0.13,0.0764701524000805,0.0764701524000805
0.005,9e81ce3e9621f78a,0.199637451984965,-0.149661660555256,0.0998053157791981,0.194882891997659,-0.115616858320005,0.0773006395555026,0.202354928376186,-0.15079432658313,0.100138700867533,0.197407859308924,-0.116136190073902,0.0774551610578546,0.13003625713224,0.0728558430230953,0.101425677922592
0.01,9e81ce3e9621f78a,0.198567519357444,-0.148663495818735,0.0992307004622424,0.189886187004548,-0.111323437211198,0.0746722047647473,0.201240830791422,-0.14977344773602,0.0995583377136685,0.192219096346096,-0.111786760972042,0.07481146014892,0.130143266540622,0.0695322077518119,0.126368728801264
0.015,9e81ce3e9621f78a,0.19681629481407,-0.14703036893443,0.098290064723355,0.185007305618932,-0.107118437787729,0.0721129883703295,0.199418380541605,-0.148103824631158,0.0986084369372597,0.187162534689209,-0.107530986939113,0.0722383825058502,0.130318432094019,0.0664807306897106,0.151299311271859
0.02,9e81ce3e9621f78a,0.194409259039443,-0.144786601458508,0.0969970015944645,0.18024371692135,-0.103000563473032,0.0696213202219057,0.196915575122456,-0.145811248807205,0.09730292654451,0.182234577786984,-0.103367148112403,0.0697341363267933,0.130559217724644,0.0636890420305371,0.176217431567022
0.025,9e81ce3e9621f78a,0.191371305447559,-0.141955991245849,0.0953647979171827,0.175592937872569,-0.098968520917141,0.0671955667238416,0.19376021844239,-0.142921231242143,0.0956554823681095,0.177431755954431,-0.0992935578345362,0.0672969763969571,0.130863144554416,0.0611501418425142,0.201123095916286
0.03,9e81ce3e9621f78a,0.187726763661367,-0.138561829583779,0.0934064452776807,0.171052532709146,-0.0950210208633407,0.0648341302780108,0.18997984751914,-0.13945895412837,0.0936795259792762,0.17275071982048,-0.095308561622475,0.0649252027343909,0.131227788189758,0.0588616443285117,0.226016310546058
0.035,9e81ce3e9621f78a,0.183499421727422,-0.134626917557191,0.0911346504387431,0.166620112336165,-0.0911567789657459,0.0625354487222886,0.185601659849004,-0.135449222877098,0.0913882222959945,0.16818823423849,-0.0914105361966497,0.0626171592930595,0.13165077618293,0.0568250520656206,0.250897081679655
0.04,9e81ce3e9621f78a,0.178712547067515,-0.130173581633032,0.0885618452812774,0.162293333717104,-0.0873745165593624,0.0602979947655031,0.180652443231962,-0.130916419675138,0.0887944771146646,0.163741172620542,-0.0875978885659424,0.0603712327192926,0.132129785657618,0.0550450687329134,0.275765415537259
0.045,9e81ce3e9621f78a,0.173388906180145,-0.125223688460634,0.0857001962686001,0.158069899260851,-0.083672961384186,0.0581202754195774,0.175158509505431,-0.125884459670368,0.0859109347544744,0.159406511660064,-0.0838690551645587,0.0581858511580239,0.132662541095534,0.0535289574692405,0.30062131833596
