time_s,manifest_id,DG1,DG2,DG3
0,9e81ce3e9621f78a,1.02,0.985,1.01
0.005,9e81ce3e9621f78a,1.01996374286776,0.985033835691752,1.00998053041271
0.01,9e81ce3e9621f78a,1.01985673345938,0.985133664251009,1.00992306081298
0.015,9e81ce3e9621f78a,1.01968156790598,0.98529700910609,1.00982897572157
0.02,9e81ce3e9621f78a,1.01944078227536,0.985521446821766,1.00969962849855
0.025,9e81ce3e9621f78a,1.01913685544558,0.985804604939319,1.00953634270337
0.03,9e81ce3e9621f78a,1.01877221181024,0.986144159932073,1.00934041338057
0.035,9e81ce3e9621f78a,1.01834922381707,0.986537835275968,1.00911310827385
0.04,9e81ce3e9621f78a,1.01787021434238,0.986983399634392,1.00885566897066
0.045,9e81ce3e9621f78a,1.01733745890447,0.987478665155796,1.0085693119799
0.05,9e81ce3e9621f78a,1.01675318772018,0.988021485881871,1.00825522974502
0.055,9e81ce3e9621f78a,1.01611958760976,0.988609756263412,1.00791459159499
0.06,9e81ce3e9621f78a,1.01543880375565,0.989241409780406,1.00754854463578
0.065,9e81ce3e9621f78a,1.01471294132183,0.989914417662352,1.00715821458471
0.07,9e81ce3e9621f78a,1.01394406694053,0.990626787704383,1.00674470655039
0.075,9e81ce3e9621f78a,1.0131342100738,0.991376563174382,1.00630910576068
0.08,9e81ce3e9621f78a,1.0122853642577,0.992161821805994,1.00585247824134
0.085,9e81ce3e9621f78a,1.01139948823695,0.992980674872213,1.00537587144782
0.09,9e81ce3e9621f78a,1.01047850699815,0.993831266334087,1.00488031485284
0.095,9e81ce3e9621f78a,1.00952431270969,0.994711772058971,1.00436682049215
0.1,9e81ce3e9621f78a,1.00853876557632,0.995620399102752,1.00383638347094
0.105,9e81ce3e9621f78a,1.00752369461643,0.9965553850505,1.00328998243339
0.11,9e81ce3e9621f78a,1.00648089836962,0.997514997410043,1.00272857999758
0.115,9e81ce3e9621f78a,1.00541214554233,0.99849753305311,1.00215312315818
0.12,9e81ce3e9621f78a,1.00431917559854,0.999501317698808,1.00156454365903
0.125,9e81ce3e9621f78a,1.00320369930275,1.00052470543441,1.00096375833774
0.13,9e81ce3e9621f78a,1.00206739922174,1.00156607826857,1.00035166944446
0.135,9e81ce3e9621f78a,1.00091193019147,1.00262384571242,0.999729164936679
0.14,9e81ce3e9621f78a,0.999738919755117,1.00369644438409,0.999097118751986
0.145,9e81ce3e9621f78a,0.998549968577792,1.00478233763254,0.998456391060557
0.15,9e81ce3e9621f78a,0.997346650843193,1.00588001517689,0.997807828499053
