time_s,manifest_id,weight_lower,weight_upper,denominator,funnel_V,funnel_omega
0.0,9e81ce3e9621f78a,0.7982686800943171,1.941536048669756,0.020000000000000004,0.7989999999999999,0.8
0.005,9e81ce3e9621f78a,0.7982438792818012,1.9405006624984582,0.019603973466128747,0.799364145472979,0.8051171093538534
0.01,9e81ce3e9621f78a,0.7982213956364557,1.9395803672506442,0.019215788783040498,0.8004387740346595,0.8101138178418203
0.015,9e81ce3e9621f78a,0.7982012546009165,1.9387789250328504,0.01883529067167928,0.8021976516660073,0.8149927040625009
0.02,9e81ce3e9621f78a,0.7981834900200424,1.9380988942296336,0.018462326927726966,0.8046151606591035,0.8197562981836333
0.025,9e81ce3e9621f78a,0.7981681442841613,1.9375416852781984,0.018096748360712733,0.8076662747335766,0.8244070825414639
0.03,9e81ce3e9621f78a,0.7981552684649393,1.9371076404295864,0.0177384087343348,0.8113265354172797,0.8289474922431669
0.035,9e81ce3e9621f78a,0.798144922344296,1.9367961324520495,0.017387164707963962,0.8155720296982419,0.8333799157721513
0.04,9e81ce3e9621f78a,0.7981371743478811,1.9366056772847118,0.017042875779305394,0.8203793689461217,0.8377066955963188
0.045,9e81ce3e9621f78a,0.79813210139885,1.9365340559975632,0.01670540422819583,0.8257256690902716,0.8419301287792472
0.05,9e81ce3e9621f78a,0.79812978871115,1.936578441893362,0.016374615061513643,0.8315885320310613,0.8460524675941926
0.055,9e81ce3e9621f78a,0.7981303295417117,1.936735529156198,0.016050375959179825,0.8379460282516307,0.8500759201407488
0.06,9e81ce3e9621f78a,0.7981338249234511,1.9370016600608257,0.015732557221228117,0.8447766805887029,0.8540026509639352
0.065,9e81ce3e9621f78a,0.7981403833994694,1.9373729483893016,0.015421031715923362,0.8520594491138653,0.8578347816754435
0.07,9e81ce3e9621f78a,0.7981501207796078,1.9378453973082295,0.01511567482890709,0.859773717070528,0.8615743915767344
0.075,9e81ce3e9621f78a,0.798163159938766,1.9384150105319948,0.01481636441335013,0.8678992778068331,0.8652235182836399
0.08,9e81ce3e9621f78a,0.7981796306759503,1.939077896107748,0.014522980741092269,0.8764163226410011,0.8687841583521028
0.085,9e81ce3e9621f78a,0.7981996696529152,1.9398303626062674,0.01423540645474941,0.8853054295928297,0.8722582679046681
0.09,9e81ce3e9621f78a,0.7982234204283702,1.9406690078775541,0.013953526520769085,0.894547552913392,0.8756477632573191
0.095,9e81ce3e9621f78a,0.7982510336054227,1.9415908008299103,0.013677228183415529,0.9041240133441016,0.8789545215462481
0.1,9e81ce3e9621f78a,0.7982826671071659,1.9425931569311283,0.013406400919665915,0.9140164890364209,0.8821803813541402
0.105,9e81ce3e9621f78a,0.7983184865972399,1.9436740082946995,0.013140936394999716,0.9242070070640739,0.8853271433355503
0.11,9e81ce3e9621f78a,0.7983586660602005,1.944831869339171,0.01288072842006348,0.9346779354610937,0.8883965708409503
0.115,9e81ce3e9621f78a,0.7984033885582507,1.9460658990687825,0.012625672908193736,0.9454119757207482,0.8913903905390299
0.12,9e81ce3e9621f78a,0.7984528471804135,1.9473759610599197,0.012375667833780975,0.9563921556927318,0.8943102930368403
0.125,9e81ce3e9621f78a,0.7985072462008782,1.9487626822323982,0.012130613191458093,0.9676018228185471,0.8971579334973765
0.13,9e81ce3e9621f78a,0.7985668024648995,1.950227511460489,0.011890410956096963,0.9790246376478932,0.8999349322542068
0.135,9e81ce3e9621f78a,0.7986317470208513,1.951772779030892,0.011654965043597141,0.9737084078934338,0.9026428754227684
0.14,9e81ce3e9621f78a,0.7987023270176423,1.9534017579019953,0.011424181272450977,0.9629517816741573,0.9052833155079607
0.145,9e81ce3e9621f78a,0.7987788078889304,1.9551187276455049,0.011197967326069822,0.9520561705970559,0.9078577720076851
0.15,9e81ce3e9621f78a,0.7988614758457524,1.9569290418824008,0.01097623271585621,0.9410360774117903,0.910367732011993
0.155,9e81ce3e9621f78a,0.7989506406990192,1.9588391999433314,0.01075888874500727,0.929905728501644,0.9128146507975203
0.16,9e81ce3e9621f78a,0.7990466390389543,1.960856923403248,0.010545848473034872,0.9186790792726088,0.9151999524169071
0.165,9e81ce3e9621f78a,0.7991498377899884,1.9629912380495425,0.010337026680988324,0.9073698195566103,0.917525030282911
0.17,9e81ce3e9621f78a,0.7992606381709306,1.9652525617543128,0.010132339837365707,0.8959913790504997,0.9197912477469512
0.17500000000000002,9e81ce3e9621f78a,0.7993794800799967,1.9676527986179702,0.009931706064700214,0.8845569328099867,0.9219999386718281
0.18,9e81ce3e9621f78a,0.7995068469318269,1.9702054396436317,0.009735045106808119,0.8730794068154726,0.924152407998388
0.185,9e81ce3e9621f78a,0.7996432709659074,1.9729256700782147,0.009542278296685271,0.8615714836242273,0.9262499323059193
0.19,9e81ce3e9621f78a,0.7997893390474582,1.9758304834160938,0.009353328525039305,0.8500456081211984,0.9282937603660802
0.195,9e81ce3e9621f78a,0.7999456989763827,1.9789388018961052,0.009168120209444929,0.8385139933782517,0.9302851136901857
0.2,9e81ce3e9621f78a,0.7999825603681756,1.9822716031888872,0.008986579264112868,0.8269886266289208,0.9322251870698419
