time_s,manifest_id,active_power_W_DG1,active_power_W_DG2,active_power_W_DG3,active_power_W_DG4,normalized_power_DG1,normalized_power_DG2,normalized_power_DG3,normalized_power_DG4,sharing_error
0,f27c2278f5bdb77b,260.021970241669,304.403807402221,318.589395999456,341.984826356654,0.520043940483338,0.507339679003701,0.490137532306856,0.488549751938077,0.0314941885452602
0.005,f27c2278f5bdb77b,260.023936109899,304.402705281588,318.58693256191,341.986426046604,0.520047872219799,0.507337842135979,0.490133742402938,0.488552037209434,0.0314958350103648
0.01,f27c2278f5bdb77b,260.0258254979,304.401604505212,318.584550925285,341.988019071603,0.5200516509958,0.507336007508687,0.490130078346592,0.488554312959432,0.0314973380363681
0.015,f27c2278f5bdb77b,260.027639206718,304.400505094403,318.582250269541,341.989605429338,0.520055278413436,0.507334175157339,0.490126538876216,0.488556579184769,0.0314986992286675
0.02,f27c2278f5bdb77b,260.029378029519,304.399407069753,318.580029782116,341.991185118611,0.520058756059039,0.507332345116255,0.490123122741718,0.48855883588373,0.0314999201753088
0.025,f27c2278f5bdb77b,260.031042751663,304.398310451151,318.577888657873,341.992758139313,0.520062085503327,0.507330517418584,0.49011982870442,0.488561083056162,0.0315010024471644
0.03,f27c2278f5bdb77b,260.032634150771,304.397215257797,318.57582609903,341.994324492403,0.520065268301542,0.507328692096328,0.490116655536969,0.488563320703432,0.0315019475981094
0.035,f27c2278f5bdb77b,260.034152996797,304.396121508219,318.573841315105,341.995884179879,0.520068305993594,0.507326869180365,0.490113602023239,0.488565548828398,0.0315027571651962
0.04,f27c2278f5bdb77b,260.035600052101,304.395029220281,318.571933522856,341.997437204761,0.520071200104202,0.507325048700469,0.49011066695824,0.488567767435373,0.0315034326688286
0.045,f27c2278f5bdb77b,260.036976071514,304.393938411204,318.570101946215,341.998983571067,0.520073952143028,0.507323230685339,0.490107849148024,0.488569976530096,0.0315039756129325
0.05,f27c2278f5bdb77b,260.038281802411,304.392849097569,318.568345816234,342.000523283786,0.520076563604822,0.507321415162615,0.490105147409591,0.488572176119694,0.0315043874851277
0.055,f27c2278f5bdb77b,260.039517984777,304.391761295341,318.566664371021,342.002056348861,0.520079035969554,0.507319602158902,0.490102560570802,0.488574366212658,0.0315046697568954
0.06,f27c2278f5bdb77b,260.040685351277,304.390675019874,318.565056855684,342.003582773165,0.520081370702554,0.50731779169979,0.490100087470282,0.488576546818807,0.0315048238837468
0.065,f27c2278f5bdb77b,260.041784627324,304.389590285926,318.563522522268,342.005102564482,0.520083569254648,0.507315983809877,0.490097726957335,0.48857871794926,0.031504851305388
0.07,f27c2278f5bdb77b,260.042816531144,304.388507107673,318.562060629701,342.006615731482,0.520085633062288,0.507314178512788,0.490095477891848,0.488580879616403,0.0315047534458854
