time_s,manifest_id,qV_difference_DG1,qV_difference_DG2,qV_difference_DG3,qV_difference_DG4,qomega_difference_DG1,qomega_difference_DG2,qomega_difference_DG3,qomega_difference_DG4,protected_command_difference,protected_voltage_state_difference,forced_weight_difference_norm,strict_construction_margin
0.39,f27c2278f5bdb77b,8.14353697323189e-11,-1.15518120243074e-11,-6.76420876775941e-12,-1.04728920848063e-11,4.51616229222435e-13,8.62591126456723e-13,2.50496997276917e-13,8.33517282972096e-13,1.36206535850461e-10,-9.39692768042732e-13,0.0548680814918334,3.04163285325598e-08
0.395,f27c2278f5bdb77b,8.66782778365105e-11,-1.11644031693114e-11,-6.59520051418672e-12,-1.01766858828789e-11,2.20710223101245e-13,6.56616159556457e-13,1.24770311270284e-13,6.0387643236598e-13,1.33527091727287e-10,-7.92033105767587e-13,0.0632442877848371,2.59189789845581e-08
0.4,f27c2278f5bdb77b,9.21518894178575e-11,-9.73955486573141e-12,-5.64167007381655e-12,-8.68814460479317e-12,5.32412113528336e-14,5.01170685626631e-13,4.80482624173884e-14,4.31364904733555e-13,1.30812758628723e-10,-6.45261621912141e-13,0.0728645480842454,2.20866137946082e-08
0.405,f27c2278f5bdb77b,9.71460112873801e-11,-7.90680802081889e-12,-4.38303191484246e-12,-6.73497911087007e-12,-1.09373664639034e-13,3.44430599763957e-13,-1.3797773687485e-14,2.58613876841229e-13,1.27717684301684e-10,-5.03819208574896e-13,0.0836701076683308,1.88208618966427e-08
0.41,f27c2278f5bdb77b,1.0117733885949e-10,-6.11448218446053e-12,-3.15585903763738e-12,-4.83245301413637e-12,-3.38211229855556e-13,1.24858551774597e-13,-1.0334452477806e-13,1.6192559446071e-14,1.24148713878669e-10,-3.71480624039577e-13,0.0956565767393101,1.60378764793318e-08
0.415,f27c2278f5bdb77b,1.04051948914691e-10,-4.58075049246387e-12,-2.12615493787316e-12,-3.22660041046641e-12,-7.09156366442143e-13,-2.22926935429264e-13,-2.64355594706278e-13,-3.71268554094639e-13,1.20180603316311e-10,-2.5024426975051e-13,0.108902334051967,1.36661918256507e-08
0.42,f27c2278f5bdb77b,1.06092985742087e-10,-3.10681211659891e-12,-1.14268794079719e-12,-1.68761727682709e-12,-1.22510985731128e-12,-7.02884948053199e-13,-4.98669573516242e-13,-9.09200340883098e-13,1.15932383051159e-10,-1.38777878078145e-13,0.1235517938207,1.16449677059352e-08
0.425,f27c2278f5bdb77b,1.07634912701465e-10,-1.47377444449648e-12,-3.80754455742149e-14,3.14988920363524e-14,-1.80499061877559e-12,-1.24501940061781e-12,-7.66023095649659e-13,-1.51854906687426e-12,1.11376809467864e-10,-3.35287353436797e-14,0.139620337633193,9.92244318415332e-09
0.43,f27c2278f5bdb77b,1.08421256781593e-10,6.06301033684309e-14,9.92076212846804e-13,1.63387445933916e-12,-2.50853222742708e-12,-1.89860925375526e-12,-1.10355398864198e-12,-2.26012611403981e-12,1.06436992249395e-10,6.30606677987089e-14,0.15696771853042,8.45438227813165e-09
0.435,f27c2278f5bdb77b,1.08493917842789e-10,1.47633619738963e-12,1.9358746376763e-12,3.09650894335378e-12,-3.33149024860091e-12,-2.65895346105577e-12,-1.51821003685493e-12,-3.13019076804422e-12,1.01208412310594e-10,1.51878509768721e-13,0.175613566784479,7.20314515337012e-09
