time_s,manifest_id,DG1,DG2,DG3
0,9e81ce3e9621f78a,0.19999999999999998,-0.12,0.08
0.005,9e81ce3e9621f78a,0.19488289199765868,-0.11561685832000525,0.07730063955550262
0.01,9e81ce3e9621f78a,0.1898861870045477,-0.11132343721119785,0.07467220476474734
0.015,9e81ce3e9621f78a,0.18500730561893206,-0.10711843778772868,0.0721129883703295
0.02,9e81ce3e9621f78a,0.1802437169213497,-0.10300056347303202,0.06962132022190569
0.025,9e81ce3e9621f78a,0.17559293787256935,-0.098968520917141,0.0671955667238416
0.03,9e81ce3e9621f78a,0.17105253270914625,-0.09502102086334069,0.0648341302780108
0.035,9e81ce3e9621f78a,0.16662011233616467,-0.09115677896574591,0.06253544872228864
0.04,9e81ce3e9621f78a,0.1622933337171041,-0.08737451655936238,0.060297994765503064
0.045,9e81ce3e9621f78a,0.15806989926085077,-0.083672961384186,0.05812027541957741
0.05,9e81ce3e9621f78a,0.15394755620595588,-0.08005084826489026,0.05600083142957333
0.055,9e81ce3e9621f78a,0.14992409600230389,-0.07650691974763968,0.05393823670231305
0.06,9e81ce3e9621f78a,0.1459973536904141,-0.07303992669555724,0.05193109773423416
0.065,9e81ce3e9621f78a,0.14216520727864232,-0.0696486288443557,0.049978053039101036
0.07,9e81ce3e9621f78a,0.13842557711859138,-0.06633179531962703,0.048077772576170213
0.075,9e81ce3e9621f78a,0.13477642527907033,-0.063088205117263,0.04622895717937943
0.08,9e81ce3e9621f78a,0.1312157549189681,-0.05991664754845774,0.04443033798810301
0.085,9e81ce3e9621f78a,0.12774160965942796,-0.056815922650720545,0.04268067587998981
0.09,9e81ce3e9621f78a,0.12435207295572331,-0.0537848415663002,0.04097876090637323
0.095,9e81ce3e9621f78a,0.12104526746924647,-0.05082222688939622,0.03932341173071734
0.1,9e81ce3e9621f78a,0.11781935444002817,-0.04792691298350403,0.03771347507053786
0.105,9e81ce3e9621f78a,0.11467253306020729,-0.04509774627021127,0.036147825143211215
0.11,9e81ce3e9621f78a,0.1116030398488706,-0.04233358549073253,0.034625363116061285
0.115,9e81ce3e9621f78a,0.10860914802867856,-0.03963330194143847,0.033145016561089265
0.12,9e81ce3e9621f78a,0.10568916690468685,-0.03699577968460295,0.031705738914688676
0.125,9e81ce3e9621f78a,0.10284144124576496,-0.034419915735559165,0.030306508942665115
0.13,9e81ce3e9621f78a,0.10006435066900392,-0.031904620227422874,0.02894633021085806
0.135,9e81ce3e9621f78a,0.09735630902749194,-0.02944881655450648,0.02762423056164052
0.14,9e81ce3e9621f78a,0.09471576380182499,-0.027051441495514087,0.026339261596551384
0.145,9e81ce3e9621f78a,0.09214119549570374,-0.024711445317573168,0.025090498165295044
0.15,9e81ce3e9621f78a,0.08963111703595344,-0.022427791862124055,0.02387703786132313
