time_s,manifest_id,DG1,DG2,DG3
0,9e81ce3e9621f78a,0.20000000000000018,-0.15000000000000013,0.10000000000000009
0.005,9e81ce3e9621f78a,0.19963745198496516,-0.1496616605552561,0.0998053157791981
0.01,9e81ce3e9621f78a,0.19856751935744382,-0.14866349581873536,0.09923070046224237
0.015,9e81ce3e9621f78a,0.19681629481407048,-0.14703036893442964,0.09829006472335496
0.02,9e81ce3e9621f78a,0.19440925903944256,-0.14478660145850766,0.09699700159446455
0.025,9e81ce3e9621f78a,0.1913713054475586,-0.14195599124584948,0.09536479791718273
0.03,9e81ce3e9621f78a,0.18772676366136684,-0.1385618295837795,0.09340644527768066
0.035,9e81ce3e9621f78a,0.183499421727422,-0.13462691755719053,0.09113465043874307
0.04,9e81ce3e9621f78a,0.17871254706751452,-0.13017358163303205,0.0885618452812774
0.045,9e81ce3e9621f78a,0.17338890618014505,-0.125223688460634,0.08570019626860013
0.05,9e81ce3e9621f78a,0.16755078311510296,-0.11979865889226934,0.08256161344784836
0.055,9e81ce3e9621f78a,0.16121999675388585,-0.11391948123581726,0.07915775900371365
0.06,9e81ce3e9621f78a,0.1544179169370141,-0.10760672375802621,0.0755000553806502
0.065,9e81ce3e9621f78a,0.14716547948661657,-0.10088054646280993,0.07159969299025468
0.07,9e81ce3e9621f78a,0.13948320017872037,-0.09376071217410606,0.06746763752120333
0.075,9e81ce3e9621f78a,0.13139118772465067,-0.086266596957125,0.06311463686958288
0.08,9e81ce3e9621f78a,0.122909155824637,-0.0784171999153098,0.05855122770771245
0.085,9e81ce3e9621f78a,0.11405643435953779,-0.070231152403026,0.053787741709826455
0.09,9e81ce3e9621f78a,0.10485197978825825,-0.06172672669604384,0.04883431145304394
0.095,9e81ce3e9621f78a,0.09531438481924794,-0.05292184416315228,0.04370087601200867
0.1,9e81ce3e9621f78a,0.08546188742449172,-0.04383408298300027,0.03839718626544391
0.105,9e81ce3e9621f78a,0.0753123792636519,-0.03448068545041257,0.03293280993263688
0.11,9e81ce3e9621f78a,0.06488341358479197,-0.024878564916114822,0.027317136357467266
0.115,9e81ce3e9621f78a,0.05419221266618628,-0.015044312403079727,0.021559381057285665
0.12,9e81ce3e9621f78a,0.04325567486157285,-0.004994202941613563,0.015668590053288245
0.125,9e81ce3e9621f78a,0.032090381308592354,0.005255798336099689,0.009653643998625753
0.13,9e81ce3e9621f78a,0.020712602357343315,0.01569003030290798,0.003523262119741156
0.135,9e81ce3e9621f78a,0.009138303772985695,0.026293130107826038,-0.0027139940141838966
0.14,9e81ce3e9621f78a,-0.0026168472368081094,0.03705002757614542,-0.009049716879523375
0.145,9e81ce3e9621f78a,-0.01453747612196334,0.0479459397054108,-0.015475649530840517
0.15,9e81ce3e9621f78a,-0.026608495173310206,0.058966365226376716,-0.02198368226524805
0.155,9e81ce3e9621f78a,-0.03881509774793908,0.07009707920030182,-0.02856584940663911
0.16,9e81ce3e9621f78a,-0.05114275249865808,0.0813241276263289,-0.035214326198801174
0.165,9e81ce3e9621f78a,-0.06357719757273995,0.09263382203491892,-0.04192142579718174
0.17,9e81ce3e9621f78a,-0.07610443474819008,0.10401273404580756,-0.048679596349937744
0.175,9e81ce3e9621f78a,-0.08871072347877675,0.11544768987120997,-0.055481418159705274
0.18,9e81ce3e9621f78a,-0.10138257482193085,0.12692576474736367,-0.06231960091835015
0.185,9e81ce3e9621f78a,-0.11410674522645148,0.13843427727990715,-0.06918698100774491
0.19,9e81ce3e9621f78a,-0.12687023015966092,0.14996078369081325,-0.07607651886045853
0.195,9e81ce3e9621f78a,-0.13966025755633044,0.16149307195703977,-0.08298129637499158
0.2,9e81ce3e9621f78a,-0.1524642810742397,0.17301915583331015,-0.08989451438097815
0.205,9e81ce3e9621f78a,-0.16526997314381137,0.1845272687538284,-0.09680949015053292
0.21,9e81ce3e9621f78a,-0.1780652178017189,0.1960058576100048,-0.10371965495264619
0.215,9e81ce3e9621f78a,-0.1908381033008557,0.2074435764037017,-0.11061855164825726
0.22,9e81ce3e9621f78a,-0.20357691449152218,0.2188292797778748,-0.11749983232432862
0.225,9e81ce3e9621f78a,-0.2162701249711965,0.23015201642891014,-0.12435725596592319
0.23,9e81ce3e9621f78a,-0.22890638900276017,0.24140102240745737,-0.13118468616594067
0.235,9e81ce3e9621f78a,-0.24147453320370277,0.2525657143171239,-0.1379760888727969
0.24,9e81ce3e9621f78a,-0.2539635480115061,0.2636356824229764,-0.14472553017694686
0.245,9e81ce3e9621f78a,-0.26636257893324117,0.274600683684548,-0.15142717413775036
0.25,9e81ce3e9621f78a,-0.27866091759040407,0.28545063473078786,-0.1580752806527042
0.255,9e81ce3e9621f78a,-0.29084799257316923,0.2961756047973534,-0.16466420337165782
0.26,9e81ce3e9621f78a,-0.3029133601216114,0.30676580864957015,-0.17118838765909114
0.265,9e81ce3e9621f78a,-0.31484669465507764,0.3172115995175635,-0.17764236860807797
0.27,9e81ce3e9621f78a,-0.32663777917476006,0.32750346207322095,-0.18402076910995088
0.275,9e81ce3e9621f78a,-0.33827649556870953,0.3376320054819766,-0.190318297984196
0.28,9e81ce3e9621f78a,-0.3497528148530425,0.34758795656585456,-0.19652974817345484
0.285,9e81ce3e9621f78a,-0.36105678738794916,0.35736215311765096,-0.20264999500890116
0.29,9e81ce3e9621f78a,-0.37217853311232035,0.36694553740971064,-0.20867399455162608
0.295,9e81ce3e9621f78a,-0.38310823184641973,0.3763291499443393,-0.21459678201594465
0.3,9e81ce3e9621f78a,-0.3938361137179906,0.38550412349646035,-0.22041347028084757
0.305,9e81ce3e9621f78a,-0.4043524497735464,0.3944616775026791,-0.226119248496011
0.31,9e81ce3e9621f78a,-0.41464754284329547,0.4031931128543,-0.23170938078904726
0.315,9e81ce3e9621f78a,-0.42471171873516184,0.41168980715517844,-0.23717920508076296
0.32,9e81ce3e9621f78a,-0.43453531784066346,0.41994321050819206,-0.24252413201534942
0.325,9e81ce3e9621f78a,-0.4441086872428843,0.42794484189689364,-0.2477396440124926
