time_s,manifest_id,pV_nom_DG1,pV_nom_DG2,pV_nom_DG3,pV_nom_DG4,pV_alt_DG1,pV_alt_DG2,pV_alt_DG3,pV_alt_DG4,pomega_nom_DG1,pomega_nom_DG2,pomega_nom_DG3,pomega_nom_DG4,pomega_alt_DG1,pomega_alt_DG2,pomega_alt_DG3,pomega_alt_DG4,public_difference_l2
0,f27c2278f5bdb77b,0.0674674172110473,0.0385695200618645,0.0437138542440131,0.0470988141297738,0.0674674172110473,0.0385695200618645,0.0437138542440131,0.0470988141297738,0.00749863684883394,-0.00683379164685732,0.00583937429871346,-0.00373360977208477,0.00749863684883394,-0.00683379164685732,0.00583937429871346,-0.00373360977208477,0
0.005,f27c2278f5bdb77b,0.0653755002431442,0.039263642630084,0.0424190514201687,0.0472867311220201,0.0653755002431442,0.039263642630084,0.0424190514201687,0.0472867311220201,0.00631282015331596,-0.00594114645171281,0.00509581228728595,-0.00314015205481226,0.00631282015331596,-0.00594114645171281,0.00509581228728595,-0.00314015205481226,0
0.01,f27c2278f5bdb77b,0.0623880960251615,0.0388933990532603,0.0405165900468666,0.0463624354363076,0.0623880960251615,0.0388933990532603,0.0405165900468666,0.0463624354363076,0.0052974521106408,-0.00517043187617566,0.00445480512263732,-0.00263050636875785,0.0052974521106408,-0.00517043187617566,0.00445480512263732,-0.00263050636875785,0
0.015,f27c2278f5bdb77b,0.0586410103325296,0.0376165379862934,0.0381007524561016,0.0444915719774364,0.0586410103325296,0.0376165379862934,0.0381007524561016,0.0444915719774364,0.00442854364786933,-0.00450449785879747,0.00390246611639391,-0.00219229310128169,0.00442854364786933,-0.00450449785879747,0.00390246611639391,-0.00219229310128169,0
0.02,f27c2278f5bdb77b,0.054271534094989,0.035584990742842,0.0352658207329836,0.0418349688192537,0.054271534094989,0.035584990742842,0.0352658207329836,0.0418349688192537,0.00368551148122223,-0.00392858564625048,0.0034267996183925,-0.00181493573658776,0.00368551148122223,-0.00392858564625048,0.0034267996183925,-0.00181493573658776,0
0.025,f27c2278f5bdb77b,0.0494152470033316,0.0329433478075895,0.0321040842213475,0.0385466715262075,0.0494152470033316,0.0329433478075895,0.0321040842213475,0.0385466715262075,0.00305068967138746,-0.00342999662683202,0.00301744101086349,-0.00148940146211739,0.00305068967138746,-0.00342999662683202,0.00301744101086349,-0.00148940146211739,0
0.03,f27c2278f5bdb77b,0.0442033130007004,0.0298275739883375,0.0287041682557156,0.0347722800656368,0.0442033130007004,0.0298275739883375,0.0287041682557156,0.0347722800656368,0.00250891188276225,-0.00299780724617488,0.0026654330012309,-0.00120797900161029,0.00250891188276225,-0.00299780724617488,0.0026654330012309,-0.00120797900161029,0
0.035,f27c2278f5bdb77b,0.0387602447184152,0.0263639669486023,0.0251496679971339,0.0306475890785226,0.0387602447184152,0.0263639669486023,0.0251496679971339,0.0306475890785226,0.00204715395789348,-0.00262262347000076,0.00236303298191899,-0.000964088317052773,0.00204715395789348,-0.00262262347000076,0.00236303298191899,-0.000964088317052773,0
0.04,f27c2278f5bdb77b,0.0332021103333475,0.0226683575596718,0.02151806890377,0.0262975258915104,0.0332021103333475,0.0226683575596718,0.02151806890377,0.0262975258915104,0.0016542279831758,-0.0022963692243435,0.00210354702351435,-0.000752117600890126,0.0016542279831758,-0.0022963692243435,0.00210354702351435,-0.000752117600890126,0
0.045,f27c2278f5bdb77b,0.0276351533129116,0.0188455451876186,0.0178799334512116,0.0218353752432054,0.0276351533129116,0.0188455451876186,0.0178799334512116,0.0218353752432054,0.0013205203390258,-0.00201210405439646,0.0018811867321336,-0.000567283641365272,0.0013205203390258,-0.00201210405439646,0.0018811867321336,-0.000567283641365272,0
0.05,f27c2278f5bdb77b,0.0221547931693703,0.0149889566555877,0.0142983322774135,0.0173622752570945,0.0221547931693703,0.0149889566555877,0.0142983322774135,0.0173622752570945,0.00103776735190117,-0.00176386593493598,0.00169094576452712,-0.000405512212939817,0.00103776735190117,-0.00176386593493598,0.00169094576452712,-0.000405512212939817,0
0.055,f27c2278f5bdb77b,0.0168449735507343,0.0111805140690965,0.0108284968806119,0.0129669655897933,0.0168449735507343,0.0111805140690965,0.0108284968806119,0.0129669655897933,0.00079886311389351,-0.00154653574848729,0.00152849326581371,-0.000263335626964972,0.00079886311389351,-0.00154653574848729,0.00152849326581371,-0.000263335626964972,0
0.06,f27c2278f5bdb77b,0.0117778226654179,0.0074906939051021,0.0075176702959901,0.00872576584912341,0.0117778226654179,0.0074906939051021,0.0075176702959901,0.00872576584912341,0.000597694797236145,-0.00135572041911646,0.00139008186869595,-0.000137804973845423,0.000597694797236145,-0.00135572041911646,0.00139008186869595,-0.000137804973845423,0
0.065,f27c2278f5bdb77b,0.00701359085681063,0.00397875802531541,0.0044051322161855,0.00470276069977755,0.00701359085681063,0.00397875802531541,0.0044051322161855,0.00470276069977755,0.000429001508334287,-0.00118765212894526,0.00127246824804396,-2.64149530727784e-05,0.000429001508334287,-0.00118765212894526,0.00127246824804396,-2.64149530727784e-05,0
0.07,f27c2278f5bdb77b,0.00260082977191009,0.00069313556915892,0.00152237491399495,0.00095016640212872,0.00260082977191009,0.00069313556915892,0.00152237491399495,0.00095016640212872,0.000288253359909316,-0.00103910144511151,0.00117284454132084,7.29604809977072e-05,0.000288253359909316,-0.00103910144511151,0.00117284454132084,7.29604809977072e-05,0
0.075,f27c2278f5bdb77b,-0.00142322185704334,-0.0023280656374651,-0.0011065930466989,-0.0024911467375369,-0.00142322185704334,-0.0023280656374651,-0.0011065930466989,-0.0024911467375369,0.000171547758022174,-0.000907302380522019,0.00108877908930647,0.000162123252676529,0.000171547758022174,-0.000907302380522019,0.00108877908930647,0.000162123252676529,0
0.08,f27c2278f5bdb77b,-0.00503207968506918,-0.0050564399436233,-0.00346483752460247,-0.00559100175223076,-0.00503207968506918,-0.0050564399436233,-0.00346483752460247,-0.00559100175223076,7.55205172727268e-05,-0.000789887797742047,0.00101816526886477,0.000242598363960713,7.55205172727268e-05,-0.000789887797742047,0.00101816526886477,0.000242598363960713,0
0.085,f27c2278f5bdb77b,-0.00820931520009638,-0.00747257844986332,-0.00554200520016636,-0.00832915753101921,-0.00820931520009638,-0.00747257844986332,-0.00554200520016636,-0.00832915753101921,-2.73034837226917e-06,-0.000684833718295781,0.000959177297299271,0.000315674308436926,-2.73034837226917e-06,-0.000684833718295781,0.000959177297299271,0.000315674308436926,0
0.09,f27c2278f5bdb77b,-0.0109477479833109,-0.00956529800086601,-0.00733376557688796,-0.0106944707967275,-0.0109477479833109,-0.00956529800086601,-0.00733376557688796,-0.0106944707967275,-6.57099686957885e-05,-0.000590411315623537,0.000910232060320853,0.000382437672211026,-6.57099686957885e-05,-0.000590411315623537,0.000910232060320853,0.000382437672211026,0
0.095,f27c2278f5bdb77b,-0.0132485577064561,-0.0113308243504835,-0.00884120713405677,-0.0126840007131577,-0.0132485577064561,-0.0113308243504835,-0.00884120713405677,-0.0126840007131577,-0.000115582642937511,-0.000505145538738194,0.000869956146081306,0.000443802754092818,-0.000115582642937511,-0.000505145538738194,0.000869956146081306,0.000443802754092818,0
0.1,f27c2278f5bdb77b,-0.0151203425281389,-0.0127719479428896,-0.0100702046060895,-0.0143020777283865,-0.0151203425281389,-0.0127719479428896,-0.0100702046060895,-0.0143020777283865,-0.000154219879323738,-0.000427779454887765,0.000837157376603208,0.000500536920325366,-0.000154219879323738,-0.000427779454887765,0.000837157376603208,0.000500536920325366,0
0.105,f27c2278f5bdb77b,-0.0165781481501346,-0.0138971692690176,-0.0110307727208968,-0.0155593565095036,-0.0165781481501346,-0.0138971692690176,-0.0110307727208968,-0.0155593565095036,-0.000183241587588854,-0.000357243525091478,0.00081080022520505,0.000553282306279598,-0.000183241587588854,-0.000357243525091478,0.00081080022520505,0.000553282306279598,0
0.11,f27c2278f5bdb77b,-0.0176424892764242,-0.0147198491143505,-0.0117364200292327,-0.0164718709012395,-0.0176424892764242,-0.0147198491143505,-0.0117364200292327,-0.0164718709012395,-0.000204051400966646,-0.000292629133828525,0.000789984591452975,0.000602574389985215,-0.000204051400966646,-0.000292629133828525,0.000789984591452975,0.000602574389985215,0
0.115,f27c2278f5bdb77b,-0.0183383826372293,-0.0152573772690412,-0.0122035147347429,-0.0170601068078288,-0.0183383826372293,-0.0152573772690412,-0.0122035147347429,-0.0170601068078288,-0.000217866964692334,-0.000233165786968839,0.00077392747683455,0.000648857887250472,-0.000217866964692334,-0.000233165786968839,0.00077392747683455,0.000648857887250472,0
0.12,f27c2278f5bdb77b,-0.0186944081467755,-0.0155303714705984,-0.0124506727211705,-0.0173481068054365,-0.0186944081467755,-0.0155303714705984,-0.0124506727211705,-0.0173481068054365,-0.000225745908623802,-0.000178201472186931,0.000761947166251367,0.000692500353717889,-0.000225745908623802,-0.000178201472186931,0.000761947166251367,0.000692500353717889,0
0.125,f27c2278f5bdb77b,-0.0187418122126286,-0.0155619165442785,-0.0124981763034938,-0.0173626181988248,-0.0187418122126286,-0.0155619165442785,-0.0124981763034938,-0.0173626181988248,-0.000228608119039342,-0.000127185745494545,0.000753449574061635,0.000733803823876075,-0.000228608119039342,-0.000127185745494545,0.000753449574061635,0.000733803823876075,0
0.13,f27c2278f5bdb77b,-0.0185136647435337,-0.0153768519318346,-0.0123674306260681,-0.0171322941796989,-0.0185136647435337,-0.0153768519318346,-0.0123674306260681,-0.0171322941796989,-0.000227254836675892,-7.96551675243698e-05,0.000747916459835752,0.000773014769585634,-0.000227254836675892,-7.96551675243698e-05,0.000747916459835752,0.000773014769585634,0
0.135,f27c2278f5bdb77b,-0.0180440789395797,-0.0150011139981694,-0.0120804630454948,-0.0166869556610179,-0.0180440789395797,-0.0150011139981694,-0.0120804630454948,-0.0166869556610179,-0.000222385034564871,-3.52207638218771e-05,0.000744895258000071,0.000810332620797943,-0.000222385034564871,-3.52207638218771e-05,0.000744895258000071,0.000810332620797943,0
0.14,f27c2278f5bdb77b,-0.0173675007746718,-0.0144611379175361,-0.0116594694485506,-0.0160569195205942,-0.0173675007746718,-0.0144611379175361,-0.0116594694485506,-0.0160569195205942,-0.000214609462717854,6.44277066088065e-06,0.000743990301374642,0.000845917055499442,-0.000214609462717854,6.44277066088065e-06,0.000743990301374642,0.000845917055499442,0
0.145,f27c2278f5bdb77b,-0.0165180729163856,-0.013783322331403,-0.0111264100839636,-0.0152723971255457,-0.0165180729163856,-0.013783322331403,-0.0111264100839636,-0.0152723971255457,-0.000204462692850526,4.56063652242935e-05,0.00074485524766107,0.000879894236848104,-0.000204462692850526,4.56063652242935e-05,0.00074485524766107,0.000879894236848104,0
0.15,f27c2278f5bdb77b,-0.0155290760915834,-0.0129935586951041,-0.0105026563957293,-0.014362965526531,-0.0155290760915834,-0.0129935586951041,-0.0105026563957293,-0.014362965526531,-0.000192413445818932,8.24945717668644e-05,0.000747186545785264,0.000912362148182125,-0.000192413445818932,8.24945717668644e-05,0.000747186545785264,0.000912362148182125,0
0.155,f27c2278f5bdb77b,-0.0144324488143742,-0.0121168256339372,-0.00980868903797338,-0.0133571118697749,-0.0144324488143742,-0.0121168256339372,-0.00980868903797338,-0.0133571118697749,-0.000178873449769873,0.000117292449876456,0.000750717797800498,0.000943395157658938,-0.000178873449769873,0.000117292449876456,0.000750717797800498,0.000943395157658938,0
0.16,f27c2278f5bdb77b,-0.0132583850231031,-0.0111768476148313,-0.00906384641169742,-0.0122818503921455,-0.0132583850231031,-0.0111768476148313,-0.00906384641169742,-0.0122818503921455,-0.000164205038594333,0.000150151494044014,0.000755214893454906,0.000973047924287893,-0.000164205038594333,0.000150151494044014,0.000755214893454906,0.000973047924287893,0
0.165,f27c2278f5bdb77b,-0.0120350081727679,-0.0101958165213496,-0.00828612245443975,-0.0111624105173339,-0.0120350081727679,-0.0101958165213496,-0.00828612245443975,-0.0111624105173339,-0.00014872766497816,0.000181194731675959,0.000760471814700999,0.00100135873720524,-0.00014872766497816,0.000181194731675959,0.000760471814700999,0.00100135873720524,0
0.17,f27c2278f5bdb77b,-0.0107881182724225,-0.00919417308526553,-0.00749201115308748,-0.0100219926997296,-0.0107881182724225,-0.00919417308526553,-0.00749201115308748,-0.0100219926997296,-0.000132723490930631,0.000210521114530435,0.000766307013258839,0.00102835237542814,-0.000132723490930631,0.000210521114530435,0.000766307013258839,0.00102835237542814,0
0.175,f27c2278f5bdb77b,-0.00954100851696271,-0.00819044535299131,-0.00669639537846829,-0.00888158888235009,-0.00954100851696271,-0.00819044535299131,-0.00669639537846829,-0.00888158888235009,-0.000116442179266194,0.000238209294447551,0.000772560287316248,0.0010540425516141,-0.000116442179266194,0.000238209294447551,0.000772560287316248,0.0010540425516141,0
